"code","iso","country","biome","biome_description","TPA.raw.1990","TPA.raw.1991","TPA.raw.1992","TPA.raw.1993","TPA.raw.1994","TPA.raw.1995","TPA.raw.1996","TPA.raw.1997","TPA.raw.1998","TPA.raw.1999","TPA.raw.2000","TPA.raw.2001","TPA.raw.2002","TPA.raw.2003","TPA.raw.2004","TPA.raw.2005","TPA.raw.2006","TPA.raw.2007","TPA.raw.2008","TPA.raw.2009","TPA.raw.2010","TPA.raw.2011","TPA.raw.2012","TPA.raw.2013","TPA.raw.2014","TPA.raw.2015","TPA.raw.2016","TPA.raw.2017"
554,"NZL","New Zealand",11,"Tundra                                                  ",836.8,836.8,836.8,836.8,901.14,836.8,836.8,836.8,836.8,836.8,836.8,836.8,836.8,836.8,901.14,901.14,901.14,901.14,910.82,910.82,910.82,910.82,910.82,910.82,910.82,910.85,910.85,910.85
554,"NZL","New Zealand",10,"Montane Grasslands & Shrublands                         ",16325.68,16694.97,16848.04,16855.57,19591.46,17076.58,17076.58,17090.14,17804.14,18647.99,18660.18,18688.39,18878.56,18892.39,19591.46,19615.3,20080.92,20441.4,21069.69,22652.58,24704.95,24723.53,24813.21,24852.1,24859.69,24859.69,24859.69,24859.69
554,"NZL","New Zealand",4,"Temperate Broadleaf & Mixed Forests                     ",48161.27,48926.37,49150.49,49274.04,59292.6,49741.26,49806.1,55476.22,56151.23,56727.94,56784.6,56856.03,57037.72,59165.78,59292.6,59574.02,59718.92,59731.08,59739.48,59788.69,59813.31,59991.63,60014.53,60573.25,60585.35,60585.61,60585.61,60585.61
554,"NZL","New Zealand",1,"Tropical & Subtropical Moist Broadleaf Forests          ",77.36,81.39,81.39,81.59,110.88,103.6,104.14,104.14,104.14,104.14,109.72,109.72,110.28,110.28,110.88,110.88,111.28,111.28,111.54,113.3,113.3,114.41,125.94,125.94,125.94,125.94,125.94,125.94
558,"NIC","Nicaragua",3,"Tropical & Subtropical Coniferous Forests               ",0,551.96,3503.66,3503.66,3840.31,3559.93,3559.93,3559.93,3667.69,3667.69,3806.9,3806.9,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31,3840.31
558,"NIC","Nicaragua",14,"Mangroves                                               ",663.51,947.84,2655.9,3217.64,3385.38,3217.64,3217.64,3217.64,3217.64,3217.64,3330.38,3330.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38,3385.38
558,"NIC","Nicaragua",2,"Tropical & Subtropical Dry Broadleaf Forests            ",784.1,1234.35,1324.81,1324.81,2837.92,1324.81,1324.81,1324.81,1324.81,1324.81,2482.46,2482.46,2837.92,2837.92,2837.92,2837.92,2837.92,2837.92,2837.92,2837.92,2837.92,3032.92,3044.59,3044.59,3044.59,3044.59,3044.59,3044.59
558,"NIC","Nicaragua",1,"Tropical & Subtropical Moist Broadleaf Forests          ",69.67,16798,24946.13,29638.21,38895.05,29638.21,29638.21,29638.21,31523.71,31523.71,38115.39,38115.39,38115.39,38115.39,38895.05,38895.05,38895.05,38895.05,38895.05,38895.05,38895.05,39173.72,39173.72,39173.72,39173.72,39173.72,39173.72,39173.72
562,"NER","Niger",9,"Flooded Grasslands & Savannas                           ",0,0,0,0,2160.89,0,0,0,0,0,0,0,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89,2160.89
562,"NER","Niger",13,"Deserts & Xeric Shrublands                              ",65238.4,65238.4,65238.4,65238.4,167887.15,65238.4,65238.4,65238.4,167887.15,167887.15,167887.15,167887.15,167887.15,167887.15,167887.15,167887.15,171321.87,171321.87,171321.87,171321.87,171321.87,171321.87,171321.87,238581.46,238581.46,238581.46,238581.46,238581.46
562,"NER","Niger",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",26659.18,26659.18,26659.18,26659.18,64053.87,26659.18,26659.18,26659.18,60911.71,60911.71,60911.71,60911.71,62825.02,64053.87,64053.87,69747.54,70331.72,70331.72,70331.72,70331.72,70331.72,70331.72,70331.72,97449.4,97449.4,97449.4,97449.4,97449.4
566,"NGA","Nigeria",9,"Flooded Grasslands & Savannas                           ",288.06,397.07,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,619.31,1316.74,1316.74,1316.74,1316.74,1316.74,1316.74,1316.74,1316.74,1316.74
566,"NGA","Nigeria",7,"Tropical & Subtropical Grasslands, Savannas & Shrub     ",20959.99,84640.08,92459.99,92459.99,93592.36,92459.99,92459.99,92459.99,92459.99,92459.99,93025.48,93592.36,93592.36,93592.36,93592.36,93592.36,93592.36,93592.36,93592.36,96216.32,96216.32,96216.32,96216.32,96216.32,96216.32,96216.32,96216.32,96216.32
566,"NGA","Nigeria",10,"Montane Grasslands & Shrublands                         ",12.67,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7,1206.7
566,"NGA","Nigeria",1,"Tropical & Subtropical Moist Broadleaf Forests          ",5256.8,19007.72,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,21900.15,22086.06,22086.06,22086.06,22086.06,22086.06,22086.06,22086.06,22086.06,22086.06
566,"NGA","Nigeria",14,"Mangroves                                               ",449.8,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1508.4,1703.51,1703.51,1703.51,1703.51,1703.51,1703.51,1703.51,1703.51,1703.51
570,"NIU","Niue",1,"Tropical & Subtropical Moist Broadleaf Forests          ",0,0,0,31.4,61.23,31.4,31.4,31.4,31.4,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23,61.23
574,"NFK","Norfolk Island",1,"Tropical & Subtropical Moist Broadleaf Forests          ",5.2,5.2,5.2,5.2,8.21,5.2,5.2,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,11.1,11.1,11.1,11.1,11.1
