"code","iso","country","NOX.raw.1970","NOX.raw.1971","NOX.raw.1972","NOX.raw.1973","NOX.raw.1974","NOX.raw.1975","NOX.raw.1976","NOX.raw.1977","NOX.raw.1978","NOX.raw.1979","NOX.raw.1980","NOX.raw.1981","NOX.raw.1982","NOX.raw.1983","NOX.raw.1984","NOX.raw.1985","NOX.raw.1986","NOX.raw.1987","NOX.raw.1988","NOX.raw.1989","NOX.raw.1990","NOX.raw.1991","NOX.raw.1992","NOX.raw.1993","NOX.raw.1994","NOX.raw.1995","NOX.raw.1996","NOX.raw.1997","NOX.raw.1998","NOX.raw.1999","NOX.raw.2000","NOX.raw.2001","NOX.raw.2002","NOX.raw.2003","NOX.raw.2004","NOX.raw.2005","NOX.raw.2006","NOX.raw.2007","NOX.raw.2008","NOX.raw.2009","NOX.raw.2010"
170,"COL","Colombia",148.73143288,150.099463107,152.518277817,157.400630559,170.979349189,184.589113429,195.3873091974,202.035702165,212.06823936,217.825276431,221.996460033,222.641762563,227.458419903,237.076962551,243.102091618,247.263211658,252.100499954,260.40008245,271.378060384,275.117293101,285.508300909,297.565700442,308.975444789,320.698259569,312.432743485,341.043216366,340.899558766,357.2026232927,351.800421073,318.579761774,319.1339247243,321.514782291,299.331807818,302.79880419,313.2778003863,315.9977593857,326.5451500003,332.2894309399,339.746723694,338.69268378,325.800185769
174,"COM","Comoros",0.189652610986,0.190018188946,0.269311454693,0.194918922302,0.205356838949,0.264054910496,0.264528123076,0.275826389015,0.286144413683,0.296142952319,0.297656275929,0.29599536761,0.28413431128,0.2942084631,0.29156901021,0.25813877747,0.29832633837,0.314531388872,0.418822042334,0.42569626339,0.55630638434,0.5296320691,0.50835437192,0.53727795143,0.59005458144,0.6277415064,0.63972015226,0.692679416863,0.689300883048,0.746263641468,0.73527918254,0.82133095313,0.82867671996,0.82378264296,0.88173945337,0.89645675855,0.92812354796,1.07632720252,1.12408256045,1.13175564795,1.13946857725
184,"COK","Cook Islands",0.02836666688,0.03247760615,0.0290022395,0.028452231871,0.03226110381,0.03669513145,0.036825160278,0.036921081944,0.035817600054,0.033087618902,0.03172747433,0.028431488634,0.02718016882,0.02613087667,0.02450343265,0.02471938216,0.0276642734,0.0305127564,0.0332904545,0.0323728716,0.0326949452,0.0329555141,0.03587187284,0.03319608757,0.03404271323,0.03127571171,0.03287002939,0.03676000157,0.03842007703,0.03967771865,0.04023037963,0.04016123819,0.04563591776,0.03270521044,0.03273346452,0.03276492671,0.03437642241,0.03620592827,0.0338282857,0.03748917662,0.03655112092
188,"CRI","Costa Rica",15.355195357,15.1226253967,17.4098511101,18.47788033,18.322153705,19.6838187204,20.2758419601,25.6683098534,27.4355467769,26.9907019363,22.736702748,21.17127334,19.447505206,20.022271488,21.35433266,21.7008282862,22.6110168572,24.3787130129,26.0892419547,27.0364837527,26.6600859383,28.2964249431,41.57869166528,39.779153718,45.512938597,44.427198137,40.237244826,38.016743211,40.5546303,37.348839712,35.930730366,36.724891375,36.135840482,36.4228062516,36.329717299,35.219118466,38.273046734,43.052340583,42.42824461,40.112162799,37.416660657
384,"CIV","Cote d'Ivoire",20.356132482,20.3872010874,21.300492854,22.03992818,22.422801898,22.5460130379,27.0147041024,27.8023151819,30.8611078025,29.7731017823,27.722967431,25.614233824,25.5117300409,28.5320505067,27.4053591488,25.90071227724,25.54452557739,24.71956178203,24.7308154505,25.1066561993,24.4566277518,25.30530021327,25.5080927086,26.4714410963,27.6191481614,29.2732275827,31.4172238757,35.74714191842,34.29204054456,39.56918678399,37.67681115027,37.38714757299,39.83364244899,32.45269390652,37.99910626849,40.52841645885,39.75093607683,39.92010756977,45.58524053102,44.21525080287,46.30181215733
191,"HRV","Croatia",91.080444024,91.1408462094,86.6144970764,84.5665243334,77.4972467309,76.0216034579,75.3527250901,71.8165961797,76.9027095,76.6011147976,67.9841261616,120.71495735946,114.25924084231,119.2717121551,120.0082820153,122.2559032449,136.6342926805,110.5868165661,112.0783378103,120.7089116018,89.2757854663,66.1906212956,66.4784238962,67.3214262129,64.2547768439,69.2386842206,70.2619487861,79.190526623,83.2494359896,82.6217509042,79.1734014737,80.8521667855,85.4106537963,90.2345882698,86.7285798382,87.0648874063,87.5056638231,92.6835478635999,89.377136711,85.7505758530001,84.8542335338301
192,"CUB","Cuba",190.99404606,174.31094675,160.77092333,169.620599711,177.314699103,184.855736283,185.175413891,200.533699577,217.244697014,229.449269416,219.437042597,228.315947991,230.021477071,235.137511243,246.57463147,231.354603972,237.415291848,242.538651638,254.510775722,265.016618793,260.644629054,219.143435202,183.378333176,144.166376006,148.314922729,141.235775841,152.684545277,164.841915149,151.47809573,153.275227377,153.798251984,149.393207405,144.606624522,127.384615314,125.633559158,114.931852053,111.422083614,113.6985595,113.2273257514,118.3459035756,113.4218260694
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",8.677909207,8.707390998,10.3613160687,11.0367252348,8.7415863877,7.8985114271,9.1535607482,9.8216324035,10.5556674619,11.32259423,11.7911508451,11.5770675893,11.9402668713,12.2725754748,13.4554172595,13.9894540073,14.7732279571,18.00454516074,16.98430524983,17.63045958554,18.18522615662,19.9394009877,20.2900722649,20.93369622187,23.40774459627,22.716570307441,23.64377225156,23.95767144916,23.71298530061,23.8885969269,24.6517827872,24.2027254282,24.41706477108,27.03416185377,26.39889893397,26.05773714937,25.452799386692,26.247850289076,26.48453850661,25.05847157517,24.4473904376
203,"CZE","Czech Republic",541.8323611966,542.44588161674,534.77712380594,527.21152737335,526.45141985942,558.01850692278,583.78028211631,616.29474748045,593.05727687953,631.734312004221,565.43905048482,591.04156447189,535.6430624159,542.8847089867,570.2434693421,576.3501207972,592.031976666,608.2308375878,596.4972181543,549.6664718417,451.8730576084,406.6070041809,413.3273977513,374.6986708469,357.9629989373,336.08690807315,368.13675903308,339.813888429956,312.851139033556,306.294597637056,332.551461261113,319.360309320413,306.445086756103,319.019600678623,314.856338257168,309.299464517135,308.413904259373,303.6260345251,294.58508369652,288.156820814489,287.832384921189
