code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
466,MLI,Mali,42.93,41.96,62.14,0,31.27,43.58,59.06,11.01,,52.03,61.81,0,31.34,5.36,100,100,0,0,31.27,,41.41,69.26,71.86,8.98,98.48,11.01,,,64.91,,22.24,7.01,35.78,64.4,59.22,0,31.34
470,MLT,Malta,76.29,90.14,89.5,100,39.42,67.06,75,,73.06,59.55,48.01,100,32.62,73.74,100,100,100,100,39.42,55.88,100,100,,13.21,,,96.61,49.51,47.15,54.27,79.84,90.31,92.81,39.59,56.44,100,32.62
478,MRT,Mauritania,38.65,45.4,63.73,5.41,47.06,34.16,31.33,,53.39,43.26,31.51,0,28.82,9.33,100,100,4.96,5.85,47.06,92.72,3.65,3,7.23,1.04,99.09,,91.62,15.15,52.08,,21.18,18.32,32.92,40.11,22.91,0,28.82
480,MUS,Mauritius,46.65,72.53,79.8,59.8,54.44,29.4,38.08,26.65,54.46,14.09,0.03,73.12,4.51,49.49,100,100,66.59,53.01,54.44,29.66,31.12,31.12,52.93,10.28,80.91,26.65,62.66,46.26,8.6,27.31,5.22,44.3,21.42,0,0.05,73.12,4.51
484,MEX,Mexico,52.26,58.86,65.89,47.43,35.91,47.85,64.32,23.19,56.62,27.3,47.69,91.48,33.73,40.9,81.51,83.61,47.75,47.12,35.91,86.92,60.75,64.38,53.74,20.25,91.36,23.19,78.31,34.93,33.09,40.21,0.03,9.67,44.46,62.8,32.57,91.48,33.73
583,FSM,Micronesia,48.57,56.9,64.68,42.59,41.64,43.02,22.32,100,58.52,33.11,65.31,39.76,23.03,11.7,100,100,43.45,41.73,41.64,51.7,15.96,10.47,,0,,100,92.63,24.42,31.87,,29.91,32.84,63.52,64.46,66.16,39.76,23.03
498,MDA,Moldova,54.27,62.75,66.22,56.43,55.55,48.61,29.24,56.76,,44.59,67.54,83.06,46.51,27.03,95.22,89.47,53.99,58.88,55.55,,18.93,21.48,28.98,14.08,81.06,56.76,,,39.28,43.03,54.89,50.61,56.65,79.23,55.85,83.06,46.51
496,MNG,Mongolia,52.83,58.69,60.82,59.1,28.46,48.93,65.68,9.74,,50.72,44.07,63,14.35,4.18,100,97.15,55.44,62.76,28.46,,69.05,58.4,72.42,27.52,98.18,9.74,,,46.55,24.91,84.12,66.4,46.38,46.19,41.94,63,14.35
499,MNE,Montenegro,50.61,71.64,70.03,74.72,74.11,36.59,41.78,48.66,52.25,14.09,31.31,81.67,10.57,25.46,100,99.49,77.78,71.66,74.11,45.79,0,0,93.03,46.11,94.09,48.66,65.46,39.04,0,25.1,34.19,40.31,4.34,38.51,24.11,81.67,10.57
504,MAR,Morocco,57.06,59.62,75.81,29.35,30.66,55.35,82.41,22.39,57.46,40.67,45.09,85.38,30.25,39.67,100,99.82,31.02,27.68,30.66,67.83,99.91,99.68,83.93,29.4,91.97,22.39,90.56,24.36,38.19,32.99,51.56,33.66,59.65,36.65,53.53,85.38,30.25
508,MOZ,Mozambique,48.49,42.63,59.78,7.83,28.45,52.41,84.39,21.53,72.96,36.8,50.92,45.65,23.27,4.2,100,93.67,7.65,8.01,28.45,74.67,91.03,94.74,82.93,61.54,95.61,21.53,79.28,66.65,67.42,0.01,14.89,0.94,1.16,60.95,40.89,45.65,23.27
104,MMR,Myanmar,44.85,31.75,37.06,19.28,37.49,53.58,44.05,33.46,63.72,78.72,66.05,0,52.64,3.49,55.06,63.83,18.44,20.13,37.49,61.19,34.49,26.24,43.2,19.06,91.21,33.46,95.5,31.95,96.95,69,52.97,60.85,56.27,69.34,62.76,0,52.64
516,NAM,Namibia,55.99,44.46,60.76,10.65,35.44,63.68,83.69,,64.77,59.95,44.22,69.91,10.32,8.06,100,91.78,10.6,10.69,35.44,42,96.75,96.87,94.49,81.49,95.15,,87.83,41.71,59.24,99.83,33.19,28.72,45.92,42.5,45.94,69.91,10.32
